incorrect_sentence,correct_sentence
වාහන ගෙදර යමු,වාහන ගෙදර යන්නේය
වාහන ගෙදර යමුවා,වාහන ගෙදර යන්නේය
වාහන ගෙදර යව,වාහන ගෙදර යයි
වාහන ගෙදර යවති,වාහන ගෙදර යයි
වාහන ගෙදර යවන්නෙමි,වාහන ගෙදර යවන්නීය
වාහන ගෙදර යවන්නෙමු,වාහන ගෙදර යවන්නීය
වාහන ගෙදර යවන්නෙහි,වාහන ගෙදර යවන්නීය
වාහන ගෙදර යවන්නෙහු,වාහන ගෙදර යවන්නීය
වාහන ගෙදර යවන්නෝය,වාහන ගෙදර යවන්නේය
වාහන ගෙදර යවමි,වාහන ගෙදර යවන්නේය
වාහන ගෙදර යවමු,වාහන ගෙදර යවන්නේය
වාහන ගෙදර යවහි,වාහන ගෙදර යවයි
වාහන ගෙදර යවහු,වාහන ගෙදර යවයි
වාහන ගෙදර යවු,වාහන ගෙදර යවයි
වාහන ගෙදර යහි,වාහන ගෙදර යවයි
වාහන ගෙදර යහිවා,වාහන ගෙදර යවයි
වාහන ගෙදර යහු,වාහන ගෙදර යවයි
වාහන ගෙදර යහුවා,වාහන ගෙදර යවයි
වාහන ගෙදර යනලදී,වාහන ගෙදර යවයි
වාහන ගෙදර ගියෙමි,වාහන ගෙදර යවයි
වාහන ගෙදර ගියෙමු,වාහන ගෙදර යවයි
වාහන ගෙදර ගියෙහි,වාහන ගෙදර යවයි
වාහන ගෙදර ගියෙහු,වාහන ගෙදර යවයි
වාහන ගෙදර ගියෝය,වාහන ගෙදර ගියේය
වාහන ගෙදර යැවෙමි,වාහන ගෙදර යැවේ
වාහන ගෙදර යැවෙමු,වාහන ගෙදර යැවේ
වාහන ගෙදර යැවෙහි,වාහන ගෙදර යැවේ
වාහන ගෙදර යැවෙහු,වාහන ගෙදර යැවේ
වාහන ගෙදර යැවෙති,වාහන ගෙදර යැවෙයි
වාහන ගෙදර යැවවෙති,වාහන ගෙදර යැවවෙයි
ලස්සන මම ගෙදර යති,වාහන ගෙදර යැවවේ
ලස්සන මම ගෙදර යත්වා,වාහන ගෙදර යැවවේ
ලස්සන මම ගෙදර යනවා,වාහන ගෙදර යැවවේ
ලස්සන මම ගෙදර යනවාලා,වාහන ගෙදර යැවවේ
ලස්සන මම ගෙදර යනු,වාහන ගෙදර යැවවේ
ලස්සන මම ගෙදර යන්න,වාහන ගෙදර යැවවේ
ලස්සන මම ගෙදර යන්නීය,වාහන ගෙදර යැවවේ
ලස්සන මම ගෙදර යන්නෙමු,ලස්සන මම ගෙදර යන්නෙමිවා
ලස්සන මම ගෙදර යන්නෙමුවා,ලස්සන මම ගෙදර යන්නෙමිවා
ලස්සන මම ගෙදර යන්නෙහි,ලස්සන මම ගෙදර යන්නෙමිවා
ලස්සන මම ගෙදර යන්නෙහිවා,ලස්සන මම ගෙදර යන්නෙමිවා
ලස්සන මම ගෙදර යන්නේය,ලස්සන මම ගෙදර යන්නෙමිවා
ලස්සන මම ගෙදර යන්නෝය,ලස්සන මම ගෙදර යන්නෙමිවා
ලස්සන මම ගෙදර යමු,ලස්සන මම ගෙදර යමිවා
ලස්සන මම ගෙදර යමුවා,ලස්සන මම ගෙදර යමිවා
ලස්සන මම ගෙදර යයි,ලස්සන මම ගෙදර යමිවා
ලස්සන මම ගෙදර යව,ලස්සන මම ගෙදර යමිවා
ලස්සන මම ගෙදර යවති,ලස්සන මම ගෙදර යමිවා
ලස්සන මම ගෙදර යවන්නීය,ලස්සන මම ගෙදර යමිවා
ලස්සන මම ගෙදර යවන්නෙමු,ලස්සන මම ගෙදර යවන්නෙමි
ලස්සන මම ගෙදර යවන්නෙහි,ලස්සන මම ගෙදර යවන්නෙමි
ලස්සන මම ගෙදර යවන්නෙහු,ලස්සන මම ගෙදර යවන්නෙමි
ලස්සන මම ගෙදර යවන්නේය,ලස්සන මම ගෙදර යවන්නෙමි
ලස්සන මම ගෙදර යවන්නෝය,ලස්සන මම ගෙදර යවන්නෙමි
ලස්සන මම ගෙදර යවමු,ලස්සන මම ගෙදර යවමි
ලස්සන මම ගෙදර යවයි,ලස්සන මම ගෙදර යවමි
ලස්සන මම ගෙදර යවහි,ලස්සන මම ගෙදර යවමි
ලස්සන මම ගෙදර යවහු,ලස්සන මම ගෙදර යවමි
ලස්සන මම ගෙදර යවු,ලස්සන මම ගෙදර යවමි
ලස්සන මම ගෙදර යහි,ලස්සන මම ගෙදර යවමි
ලස්සන මම ගෙදර යහිවා,ලස්සන මම ගෙදර යවමි
ලස්සන මම ගෙදර යහු,ලස්සන මම ගෙදර යවමි
ලස්සන මම ගෙදර යහුවා,ලස්සන මම ගෙදර යවමි
ලස්සන මම ගෙදර යනලදී,ලස්සන මම ගෙදර යවමි
ලස්සන මම ගෙදර ගියෙමු,ලස්සන මම ගෙදර ගියෙමි
ලස්සන මම ගෙදර ගියෙහි,ලස්සන මම ගෙදර ගියෙමි
ලස්සන මම ගෙදර ගියෙහු,ලස්සන මම ගෙදර ගියෙමි
ලස්සන මම ගෙදර ගියාය,ලස්සන මම ගෙදර ගියෙමි
ලස්සන මම ගෙදර ගියේය,ලස්සන මම ගෙදර ගියෙමි
ලස්සන මම ගෙදර ගියෝය,ලස්සන මම ගෙදර ගියෙමි
ලස්සන මම ගෙදර යැවේ,ලස්සන මම ගෙදර ගියෙමි
ලස්සන මම ගෙදර යැවෙමු,ලස්සන මම ගෙදර යැවෙමි
ලස්සන මම ගෙදර යැවෙහි,ලස්සන මම ගෙදර යැවෙමි
ලස්සන මම ගෙදර යැවෙහු,ලස්සන මම ගෙදර යැවෙමි
ලස්සන මම ගෙදර යැවෙයි,ලස්සන මම ගෙදර යැවෙමි
ලස්සන මම ගෙදර යැවෙති,ලස්සන මම ගෙදර යැවෙමි
ලස්සන මම ගෙදර යැවවෙයි,ලස්සන මම ගෙදර යැවෙමි
ලස්සන මම ගෙදර යැවවෙති,ලස්සන මම ගෙදර යැවෙමි
ලස්සන මම ගෙදර යැවවේ,ලස්සන මම ගෙදර යැවෙමි
ලස්සන අපි ගෙදර යති,ලස්සන මම ගෙදර යැවෙමි
ලස්සන අපි ගෙදර යත්වා,ලස්සන මම ගෙදර යැවෙමි
ලස්සන අපි ගෙදර යනවා,ලස්සන මම ගෙදර යැවෙමි
ලස්සන අපි ගෙදර යනවාලා,ලස්සන මම ගෙදර යැවෙමි
ලස්සන අපි ගෙදර යනු,ලස්සන මම ගෙදර යැවෙමි
ලස්සන අපි ගෙදර යන්න,ලස්සන මම ගෙදර යැවෙමි
ලස්සන අපි ගෙදර යන්නීය,ලස්සන මම ගෙදර යැවෙමි
ලස්සන අපි ගෙදර යන්නෙමි,ලස්සන මම ගෙදර යැවෙමි
ලස්සන අපි ගෙදර යන්නෙමිවා,ලස්සන මම ගෙදර යැවෙමි
ලස්සන අපි ගෙදර යන්නෙහි,ලස්සන අපි ගෙදර යන්නෙමුවා
ලස්සන අපි ගෙදර යන්නෙහිවා,ලස්සන අපි ගෙදර යන්නෙමුවා
ලස්සන අපි ගෙදර යන්නේය,ලස්සන අපි ගෙදර යන්නෙමුවා
ලස්සන අපි ගෙදර යන්නෝය,ලස්සන අපි ගෙදර යන්නෙමුවා
ලස්සන අපි ගෙදර යමි,ලස්සන අපි ගෙදර යන්නෙමුවා
ලස්සන අපි ගෙදර යමිවා,ලස්සන අපි ගෙදර යන්නෙමුවා
ලස්සන අපි ගෙදර යයි,ලස්සන අපි ගෙදර යමුවා
ලස්සන අපි ගෙදර යව,ලස්සන අපි ගෙදර යමුවා
ලස්සන අපි ගෙදර යවති,ලස්සන අපි ගෙදර යමුවා
ලස්සන අපි ගෙදර යවන්නීය,ලස්සන අපි ගෙදර යමුවා
ලස්සන අපි ගෙදර යවන්නෙමි,ලස්සන අපි ගෙදර යමුවා
ලස්සන අපි ගෙදර යවන්නෙහි,ලස්සන අපි ගෙදර යවන්නෙමු
ලස්සන අපි ගෙදර යවන්නෙහු,ලස්සන අපි ගෙදර යවන්නෙමු
ලස්සන අපි ගෙදර යවන්නේය,ලස්සන අපි ගෙදර යවන්නෙමු
ලස්සන අපි ගෙදර යවන්නෝය,ලස්සන අපි ගෙදර යවන්නෙමු
ලස්සන අපි ගෙදර යවමි,ලස්සන අපි ගෙදර යවන්නෙමු
ලස්සන අපි ගෙදර යවයි,ලස්සන අපි ගෙදර යවමු
ලස්සන අපි ගෙදර යවහි,ලස්සන අපි ගෙදර යවමු
ලස්සන අපි ගෙදර යවහු,ලස්සන අපි ගෙදර යවමු
ලස්සන අපි ගෙදර යවු,ලස්සන අපි ගෙදර යවමු
ලස්සන අපි ගෙදර යහි,ලස්සන අපි ගෙදර යවමු
ලස්සන අපි ගෙදර යහිවා,ලස්සන අපි ගෙදර යවමු
ලස්සන අපි ගෙදර යහු,ලස්සන අපි ගෙදර යවමු
ලස්සන අපි ගෙදර යහුවා,ලස්සන අපි ගෙදර යවමු
ලස්සන අපි ගෙදර යනලදී,ලස්සන අපි ගෙදර යවමු
ලස්සන අපි ගෙදර ගියෙමි,ලස්සන අපි ගෙදර යවමු
ලස්සන අපි ගෙදර ගියෙහි,ලස්සන අපි ගෙදර ගියෙමු
ලස්සන අපි ගෙදර ගියෙහු,ලස්සන අපි ගෙදර ගියෙමු
ලස්සන අපි ගෙදර ගියාය,ලස්සන අපි ගෙදර ගියෙමු
ලස්සන අපි ගෙදර ගියේය,ලස්සන අපි ගෙදර ගියෙමු
ලස්සන අපි ගෙදර ගියෝය,ලස්සන අපි ගෙදර ගියෙමු
ලස්සන අපි ගෙදර යැවේ,ලස්සන අපි ගෙදර ගියෙමු
ලස්සන අපි ගෙදර යැවෙමි,ලස්සන අපි ගෙදර ගියෙමු
ලස්සන අපි ගෙදර යැවෙහි,ලස්සන අපි ගෙදර යැවෙමු
ලස්සන අපි ගෙදර යැවෙහු,ලස්සන අපි ගෙදර යැවෙමු
ලස්සන අපි ගෙදර යැවෙයි,ලස්සන අපි ගෙදර යැවෙමු
ලස්සන අපි ගෙදර යැවෙති,ලස්සන අපි ගෙදර යැවෙමු
ලස්සන අපි ගෙදර යැවවෙයි,ලස්සන අපි ගෙදර යැවෙමු
ලස්සන අපි ගෙදර යැවවෙති,ලස්සන අපි ගෙදර යැවෙමු
ලස්සන අපි ගෙදර යැවවේ,ලස්සන අපි ගෙදර යැවෙමු
ලස්සන නුබ ගෙදර යති,ලස්සන අපි ගෙදර යැවෙමු
ලස්සන නුබ ගෙදර යත්වා,ලස්සන අපි ගෙදර යැවෙමු
ලස්සන නුබ ගෙදර යනවාලා,ලස්සන නුබ ගෙදර යනවා
ලස්සන නුබ ගෙදර යන්නීය,ලස්සන නුබ ගෙදර යන්න
ලස්සන නුබ ගෙදර යන්නෙමි,ලස්සන නුබ ගෙදර යන්න
ලස්සන නුබ ගෙදර යන්නෙමිවා,ලස්සන නුබ ගෙදර යන්න
ලස්සන නුබ ගෙදර යන්නෙමු,ලස්සන නුබ ගෙදර යන්න
ලස්සන නුබ ගෙදර යන්නෙමුවා,ලස්සන නුබ ගෙදර යන්න
ලස්සන නුබ ගෙදර යන්නේය,ලස්සන නුබ ගෙදර යන්නෙහිවා
ලස්සන නුබ ගෙදර යන්නෝය,ලස්සන නුබ ගෙදර යන්නෙහිවා
ලස්සන නුබ ගෙදර යමි,ලස්සන නුබ ගෙදර යන්නෙහිවා
ලස්සන නුබ ගෙදර යමිවා,ලස්සන නුබ ගෙදර යන්නෙහිවා
ලස්සන නුබ ගෙදර යමු,ලස්සන නුබ ගෙදර යන්නෙහිවා
ලස්සන නුබ ගෙදර යමුවා,ලස්සන නුබ ගෙදර යන්නෙහිවා
ලස්සන නුබ ගෙදර යයි,ලස්සන නුබ ගෙදර යන්නෙහිවා
ලස්සන නුබ ගෙදර යවති,ලස්සන නුබ ගෙදර යව
ලස්සන නුබ ගෙදර යවන්නීය,ලස්සන නුබ ගෙදර යව
ලස්සන නුබ ගෙදර යවන්නෙමි,ලස්සන නුබ ගෙදර යව
ලස්සන නුබ ගෙදර යවන්නෙමු,ලස්සන නුබ ගෙදර යව
ලස්සන නුබ ගෙදර යවන්නෙහු,ලස්සන නුබ ගෙදර යවන්නෙහි
ලස්සන නුබ ගෙදර යවන්නේය,ලස්සන නුබ ගෙදර යවන්නෙහි
ලස්සන නුබ ගෙදර යවන්නෝය,ලස්සන නුබ ගෙදර යවන්නෙහි
ලස්සන නුබ ගෙදර යවමි,ලස්සන නුබ ගෙදර යවන්නෙහි
ලස්සන නුබ ගෙදර යවමු,ලස්සන නුබ ගෙදර යවන්නෙහි
ලස්සන නුබ ගෙදර යවයි,ලස්සන නුබ ගෙදර යවන්නෙහි
ලස්සන නුබ ගෙදර යවහු,ලස්සන නුබ ගෙදර යවහි
ලස්සන නුබ ගෙදර යවු,ලස්සන නුබ ගෙදර යවහි
ලස්සන නුබ ගෙදර යහු,ලස්සන නුබ ගෙදර යහිවා
ලස්සන නුබ ගෙදර යහුවා,ලස්සන නුබ ගෙදර යහිවා
ලස්සන නුබ ගෙදර යනලදී,ලස්සන නුබ ගෙදර යහිවා
ලස්සන නුබ ගෙදර ගියෙමි,ලස්සන නුබ ගෙදර යහිවා
ලස්සන නුබ ගෙදර ගියෙමු,ලස්සන නුබ ගෙදර යහිවා
ලස්සන නුබ ගෙදර ගියෙහු,ලස්සන නුබ ගෙදර ගියෙහි
ලස්සන නුබ ගෙදර ගියාය,ලස්සන නුබ ගෙදර ගියෙහි
ලස්සන නුබ ගෙදර ගියේය,ලස්සන නුබ ගෙදර ගියෙහි
ලස්සන නුබ ගෙදර ගියෝය,ලස්සන නුබ ගෙදර ගියෙහි
ලස්සන නුබ ගෙදර යැවේ,ලස්සන නුබ ගෙදර ගියෙහි
ලස්සන නුබ ගෙදර යැවෙමි,ලස්සන නුබ ගෙදර ගියෙහි
ලස්සන නුබ ගෙදර යැවෙමු,ලස්සන නුබ ගෙදර ගියෙහි
ලස්සන නුබ ගෙදර යැවෙහි,ලස්සන නුබ ගෙදර ගියෙහි
ලස්සන නුබ ගෙදර යැවෙහු,ලස්සන නුබ ගෙදර ගියෙහි
ලස්සන නුබ ගෙදර යැවෙයි,ලස්සන නුබ ගෙදර ගියෙහි
ලස්සන නුබ ගෙදර යැවෙති,ලස්සන නුබ ගෙදර ගියෙහි
ලස්සන නුබ ගෙදර යැවවෙයි,ලස්සන නුබ ගෙදර ගියෙහි
ලස්සන නුබ ගෙදර යැවවෙති,ලස්සන නුබ ගෙදර ගියෙහි
ලස්සන නුබ ගෙදර යැවවේ,ලස්සන නුබ ගෙදර ගියෙහි
ලස්සන නුබලා ගෙදර යති,ලස්සන නුබ ගෙදර ගියෙහි
ලස්සන නුබලා ගෙදර යත්වා,ලස්සන නුබ ගෙදර ගියෙහි
ලස්සන නුබලා ගෙදර යනවා,ලස්සන නුබ ගෙදර ගියෙහි
ලස්සන නුබලා ගෙදර යනු,ලස්සන නුබලා ගෙදර යනවාලා
ලස්සන නුබලා ගෙදර යන්න,ලස්සන නුබලා ගෙදර යනවාලා
ලස්සන නුබලා ගෙදර යන්නීය,ලස්සන නුබලා ගෙදර යනවාලා
ලස්සන නුබලා ගෙදර යන්නෙමි,ලස්සන නුබලා ගෙදර යනවාලා
ලස්සන නුබලා ගෙදර යන්නෙමිවා,ලස්සන නුබලා ගෙදර යනවාලා
ලස්සන නුබලා ගෙදර යන්නෙමු,ලස්සන නුබලා ගෙදර යනවාලා
ලස්සන නුබලා ගෙදර යන්නෙමුවා,ලස්සන නුබලා ගෙදර යනවාලා
ලස්සන නුබලා ගෙදර යන්නෙහි,ලස්සන නුබලා ගෙදර යනවාලා
ලස්සන නුබලා ගෙදර යන්නෙහිවා,ලස්සන නුබලා ගෙදර යනවාලා
ලස්සන නුබලා ගෙදර යන්නේය,ලස්සන නුබලා ගෙදර යනවාලා
ලස්සන නුබලා ගෙදර යන්නෝය,ලස්සන නුබලා ගෙදර යනවාලා
ලස්සන නුබලා ගෙදර යමි,ලස්සන නුබලා ගෙදර යනවාලා
ලස්සන නුබලා ගෙදර යමිවා,ලස්සන නුබලා ගෙදර යනවාලා
ලස්සන නුබලා ගෙදර යමු,ලස්සන නුබලා ගෙදර යනවාලා
ලස්සන නුබලා ගෙදර යමුවා,ලස්සන නුබලා ගෙදර යනවාලා
ලස්සන නුබලා ගෙදර යයි,ලස්සන නුබලා ගෙදර යනවාලා
ලස්සන නුබලා ගෙදර යව,ලස්සන නුබලා ගෙදර යනවාලා
ලස්සන නුබලා ගෙදර යවති,ලස්සන නුබලා ගෙදර යනවාලා
ලස්සන නුබලා ගෙදර යවන්නීය,ලස්සන නුබලා ගෙදර යනවාලා
ලස්සන නුබලා ගෙදර යවන්නෙමි,ලස්සන නුබලා ගෙදර යනවාලා
ලස්සන නුබලා ගෙදර යවන්නෙමු,ලස්සන නුබලා ගෙදර යනවාලා
ලස්සන නුබලා ගෙදර යවන්නෙහි,ලස්සන නුබලා ගෙදර යනවාලා
ලස්සන නුබලා ගෙදර යවන්නේය,ලස්සන නුබලා ගෙදර යවන්නෙහු
ලස්සන නුබලා ගෙදර යවන්නෝය,ලස්සන නුබලා ගෙදර යවන්නෙහු
ලස්සන නුබලා ගෙදර යවමි,ලස්සන නුබලා ගෙදර යවන්නෙහු
ලස්සන නුබලා ගෙදර යවමු,ලස්සන නුබලා ගෙදර යවන්නෙහු
ලස්සන නුබලා ගෙදර යවයි,ලස්සන නුබලා ගෙදර යවන්නෙහු
ලස්සන නුබලා ගෙදර යවහි,ලස්සන නුබලා ගෙදර යවන්නෙහු
ලස්සන නුබලා ගෙදර යහි,ලස්සන නුබලා ගෙදර යවු
ලස්සන නුබලා ගෙදර යහිවා,ලස්සන නුබලා ගෙදර යවු
ලස්සන නුබලා ගෙදර යනලදී,ලස්සන නුබලා ගෙදර යහුවා
ලස්සන නුබලා ගෙදර ගියෙමි,ලස්සන නුබලා ගෙදර යහුවා
ලස්සන නුබලා ගෙදර ගියෙමු,ලස්සන නුබලා ගෙදර යහුවා
ලස්සන නුබලා ගෙදර ගියෙහි,ලස්සන නුබලා ගෙදර යහුවා
ලස්සන නුබලා ගෙදර ගියාය,ලස්සන නුබලා ගෙදර ගියෙහු
ලස්සන නුබලා ගෙදර ගියේය,ලස්සන නුබලා ගෙදර ගියෙහු
ලස්සන නුබලා ගෙදර ගියෝය,ලස්සන නුබලා ගෙදර ගියෙහු
ලස්සන නුබලා ගෙදර යැවේ,ලස්සන නුබලා ගෙදර ගියෙහු
ලස්සන නුබලා ගෙදර යැවෙමි,ලස්සන නුබලා ගෙදර ගියෙහු
ලස්සන නුබලා ගෙදර යැවෙමු,ලස්සන නුබලා ගෙදර ගියෙහු
ලස්සන නුබලා ගෙදර යැවෙයි,ලස්සන නුබලා ගෙදර යැවෙහු
ලස්සන නුබලා ගෙදර යැවෙති,ලස්සන නුබලා ගෙදර යැවෙහු
ලස්සන නුබලා ගෙදර යැවවෙයි,ලස්සන නුබලා ගෙදර යැවෙහු
ලස්සන නුබලා ගෙදර යැවවෙති,ලස්සන නුබලා ගෙදර යැවෙහු
ලස්සන නුබලා ගෙදර යැවවේ,ලස්සන නුබලා ගෙදර යැවෙහු
ලස්සන ළමයා ගෙදර යති,ලස්සන නුබලා ගෙදර යැවෙහු
ලස්සන ළමයා ගෙදර යනවා,ලස්සන ළමයා ගෙදර යත්වා
ලස්සන ළමයා ගෙදර යනවාලා,ලස්සන ළමයා ගෙදර යත්වා
ලස්සන ළමයා ගෙදර යනු,ලස්සන ළමයා ගෙදර යත්වා
ලස්සන ළමයා ගෙදර යන්න,ලස්සන ළමයා ගෙදර යත්වා
ලස්සන ළමයා ගෙදර යන්නෙමි,ලස්සන ළමයා ගෙදර යන්නීය
ලස්සන ළමයා ගෙදර යන්නෙමිවා,ලස්සන ළමයා ගෙදර යන්නීය
ලස්සන ළමයා ගෙදර යන්නෙමු,ලස්සන ළමයා ගෙදර යන්නීය
ලස්සන ළමයා ගෙදර යන්නෙමුවා,ලස්සන ළමයා ගෙදර යන්නීය
ලස්සන ළමයා ගෙදර යන්නෙහි,ලස්සන ළමයා ගෙදර යන්නීය
ලස්සන ළමයා ගෙදර යන්නෙහිවා,ලස්සන ළමයා ගෙදර යන්නීය
ලස්සන ළමයා ගෙදර යන්නෝය,ලස්සන ළමයා ගෙදර යන්නේය
ලස්සන ළමයා ගෙදර යමි,ලස්සන ළමයා ගෙදර යන්නේය
ලස්සන ළමයා ගෙදර යමිවා,ලස්සන ළමයා ගෙදර යන්නේය
ලස්සන ළමයා ගෙදර යමු,ලස්සන ළමයා ගෙදර යන්නේය
ලස්සන ළමයා ගෙදර යමුවා,ලස්සන ළමයා ගෙදර යන්නේය
ලස්සන ළමයා ගෙදර යව,ලස්සන ළමයා ගෙදර යයි
ලස්සන ළමයා ගෙදර යවති,ලස්සන ළමයා ගෙදර යයි
ලස්සන ළමයා ගෙදර යවන්නෙමි,ලස්සන ළමයා ගෙදර යවන්නීය
ලස්සන ළමයා ගෙදර යවන්නෙමු,ලස්සන ළමයා ගෙදර යවන්නීය
ලස්සන ළමයා ගෙදර යවන්නෙහි,ලස්සන ළමයා ගෙදර යවන්නීය
ලස්සන ළමයා ගෙදර යවන්නෙහු,ලස්සන ළමයා ගෙදර යවන්නීය
ලස්සන ළමයා ගෙදර යවන්නෝය,ලස්සන ළමයා ගෙදර යවන්නේය
ලස්සන ළමයා ගෙදර යවමි,ලස්සන ළමයා ගෙදර යවන්නේය
ලස්සන ළමයා ගෙදර යවමු,ලස්සන ළමයා ගෙදර යවන්නේය
ලස්සන ළමයා ගෙදර යවහි,ලස්සන ළමයා ගෙදර යවයි
ලස්සන ළමයා ගෙදර යවහු,ලස්සන ළමයා ගෙදර යවයි
ලස්සන ළමයා ගෙදර යවු,ලස්සන ළමයා ගෙදර යවයි
ලස්සන ළමයා ගෙදර යහි,ලස්සන ළමයා ගෙදර යවයි
ලස්සන ළමයා ගෙදර යහිවා,ලස්සන ළමයා ගෙදර යවයි
ලස්සන ළමයා ගෙදර යහු,ලස්සන ළමයා ගෙදර යවයි
ලස්සන ළමයා ගෙදර යහුවා,ලස්සන ළමයා ගෙදර යවයි
ලස්සන ළමයා ගෙදර යනලදී,ලස්සන ළමයා ගෙදර යවයි
ලස්සන ළමයා ගෙදර ගියෙමි,ලස්සන ළමයා ගෙදර යවයි
ලස්සන ළමයා ගෙදර ගියෙමු,ලස්සන ළමයා ගෙදර යවයි
ලස්සන ළමයා ගෙදර ගියෙහි,ලස්සන ළමයා ගෙදර යවයි
ලස්සන ළමයා ගෙදර ගියෙහු,ලස්සන ළමයා ගෙදර යවයි
ලස්සන ළමයා ගෙදර ගියෝය,ලස්සන ළමයා ගෙදර ගියේය
ලස්සන ළමයා ගෙදර යැවෙමි,ලස්සන ළමයා ගෙදර යැවේ
ලස්සන ළමයා ගෙදර යැවෙමු,ලස්සන ළමයා ගෙදර යැවේ
ලස්සන ළමයා ගෙදර යැවෙහි,ලස්සන ළමයා ගෙදර යැවේ
ලස්සන ළමයා ගෙදර යැවෙහු,ලස්සන ළමයා ගෙදර යැවේ
ලස්සන ළමයා ගෙදර යැවෙති,ලස්සන ළමයා ගෙදර යැවෙයි
ලස්සන ළමයා ගෙදර යැවවෙති,ලස්සන ළමයා ගෙදර යැවවෙයි
ලස්සන ළමයි ගෙදර යත්වා,ලස්සන ළමයි ගෙදර යති
ලස්සන ළමයි ගෙදර යනවා,ලස්සන ළමයි ගෙදර යති
ලස්සන ළමයි ගෙදර යනවාලා,ලස්සන ළමයි ගෙදර යති
ලස්සන ළමයි ගෙදර යනු,ලස්සන ළමයි ගෙදර යති
ලස්සන ළමයි ගෙදර යන්න,ලස්සන ළමයි ගෙදර යති
ලස්සන ළමයි ගෙදර යන්නීය,ලස්සන ළමයි ගෙදර යති
ලස්සන ළමයි ගෙදර යන්නෙමි,ලස්සන ළමයි ගෙදර යති
ලස්සන ළමයි ගෙදර යන්නෙමිවා,ලස්සන ළමයි ගෙදර යති
ලස්සන ළමයි ගෙදර යන්නෙමු,ලස්සන ළමයි ගෙදර යති
ලස්සන ළමයි ගෙදර යන්නෙමුවා,ලස්සන ළමයි ගෙදර යති
ලස්සන ළමයි ගෙදර යන්නෙහි,ලස්සන ළමයි ගෙදර යති
ලස්සන ළමයි ගෙදර යන්නෙහිවා,ලස්සන ළමයි ගෙදර යති
ලස්සන ළමයි ගෙදර යන්නේය,ලස්සන ළමයි ගෙදර යති
ලස්සන ළමයි ගෙදර යමි,ලස්සන ළමයි ගෙදර යන්නෝය
ලස්සන ළමයි ගෙදර යමිවා,ලස්සන ළමයි ගෙදර යන්නෝය
ලස්සන ළමයි ගෙදර යමු,ලස්සන ළමයි ගෙදර යන්නෝය
ලස්සන ළමයි ගෙදර යමුවා,ලස්සන ළමයි ගෙදර යන්නෝය
ලස්සන ළමයි ගෙදර යයි,ලස්සන ළමයි ගෙදර යන්නෝය
ලස්සන ළමයි ගෙදර යව,ලස්සන ළමයි ගෙදර යන්නෝය
ලස්සන ළමයි ගෙදර යවන්නීය,ලස්සන ළමයි ගෙදර යවති
ලස්සන ළමයි ගෙදර යවන්නෙමි,ලස්සන ළමයි ගෙදර යවති
ලස්සන ළමයි ගෙදර යවන්නෙමු,ලස්සන ළමයි ගෙදර යවති
ලස්සන ළමයි ගෙදර යවන්නෙහි,ලස්සන ළමයි ගෙදර යවති
ලස්සන ළමයි ගෙදර යවන්නෙහු,ලස්සන ළමයි ගෙදර යවති
ලස්සන ළමයි ගෙදර යවන්නේය,ලස්සන ළමයි ගෙදර යවති
ලස්සන ළමයි ගෙදර යවමි,ලස්සන ළමයි ගෙදර යවන්නෝය
ලස්සන ළමයි ගෙදර යවමු,ලස්සන ළමයි ගෙදර යවන්නෝය
ලස්සන ළමයි ගෙදර යවයි,ලස්සන ළමයි ගෙදර යවන්නෝය
ලස්සන ළමයි ගෙදර යවහි,ලස්සන ළමයි ගෙදර යවන්නෝය
ලස්සන ළමයි ගෙදර යවහු,ලස්සන ළමයි ගෙදර යවන්නෝය
ලස්සන ළමයි ගෙදර යවු,ලස්සන ළමයි ගෙදර යවන්නෝය
ලස්සන ළමයි ගෙදර යහි,ලස්සන ළමයි ගෙදර යවන්නෝය
ලස්සන ළමයි ගෙදර යහිවා,ලස්සන ළමයි ගෙදර යවන්නෝය
ලස්සන ළමයි ගෙදර යහු,ලස්සන ළමයි ගෙදර යවන්නෝය
ලස්සන ළමයි ගෙදර යහුවා,ලස්සන ළමයි ගෙදර යවන්නෝය
ලස්සන ළමයි ගෙදර යනලදී,ලස්සන ළමයි ගෙදර යවන්නෝය
ලස්සන ළමයි ගෙදර ගියෙමි,ලස්සන ළමයි ගෙදර යවන්නෝය
ලස්සන ළමයි ගෙදර ගියෙමු,ලස්සන ළමයි ගෙදර යවන්නෝය
ලස්සන ළමයි ගෙදර ගියෙහි,ලස්සන ළමයි ගෙදර යවන්නෝය
ලස්සන ළමයි ගෙදර ගියෙහු,ලස්සන ළමයි ගෙදර යවන්නෝය
ලස්සන ළමයි ගෙදර ගියාය,ලස්සන ළමයි ගෙදර යවන්නෝය
ලස්සන ළමයි ගෙදර ගියේය,ලස්සන ළමයි ගෙදර යවන්නෝය
ලස්සන ළමයි ගෙදර යැවේ,ලස්සන ළමයි ගෙදර ගියෝය
ලස්සන ළමයි ගෙදර යැවෙමි,ලස්සන ළමයි ගෙදර ගියෝය
ලස්සන ළමයි ගෙදර යැවෙමු,ලස්සන ළමයි ගෙදර ගියෝය
ලස්සන ළමයි ගෙදර යැවෙහි,ලස්සන ළමයි ගෙදර ගියෝය
ලස්සන ළමයි ගෙදර යැවෙහු,ලස්සන ළමයි ගෙදර ගියෝය
